Senaryo,Ozellik_Sayisi,Accuracy,Macro_F1,Train_Time_Sec,F1_S,F1_F
Sadece Zaman Alanı,9,0.8539192399049881,0.6022117125685462,2.963264226913452,0.4074074074074074,0.40512820512820513
Sadece FFT (Frekans),5,0.8717796455326147,0.6047917044957082,2.0731263160705566,0.3423702556158017,0.29441624365482233
Sadece Wavelet (L4),5,0.8874474693952129,0.585808789753371,1.9779109954833984,0.3908450704225352,0.1791044776119403
Zaman + FFT,14,0.943678055910835,0.7872208104958089,2.7703700065612793,0.6409774436090225,0.5853658536585366
Zaman + Wavelet (L4),14,0.9505298739265485,0.8051230162233477,2.6753218173980713,0.6311713455953534,0.65
Tüm Özellikler (Zaman+FFT+Wavelet L4),19,0.958249588890919,0.8303550815208794,10.106890678405762,0.6699604743083004,0.6918238993710691
Sadece Wavelet (L2),3,0.8346427918874475,0.45147454341665405,5.181329727172852,0.1613198900091659,0.02553191489361702
Sadece Wavelet (L6),7,0.928786771423351,0.7294321699231123,6.495555400848389,0.5310853530031612,0.5220588235294118
